symbol,name,sector,cap_type,tracking_notes
ACE.NS,Action Construction Equipment Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ACMESOLAR.NS,Acme Solar Holdings Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ALANKIT.NS,Alankit Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ANANTRAJ.NS,Anant Raj Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ASIANTILES.NS,Asian Granito India Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ATHERENERG.NS,Ather Energy Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
AWL.NS,AWL Agri Business Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
BAJAJHFL.NS,Bajaj Housing Finance Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
BAJAJHLDNG.NS,Bajaj Holdings And Investment Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
BAJFINANCE.NS,Bajaj Finance Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
BANCOINDIA.NS,Banco Products (India) Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
BBL.NS,Bharat Bijlee Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
BHARATCOAL.NS,Bharat Coking Coal Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
BLUEJET.NS,Blue Jet Healthcare Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
BOROLTD.NS,Borosil Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
BOROSCI.NS,Borosil Scientific Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
CANBK.NS,Canara Bank Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
CERA.NS,Cera Sanitaryware Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
CHEMCON.NS,Chemcon Speciality Chemicals Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
COALINDIA.NS,Coal India Limited,Spark Watchlist,Equity,Google Sheet Spark Stock List
COCHINSHIP.NS,Cochin Shipyard Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
DCAL.NS,Dishman Carbogen Amcis Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
DCW.NS,DCW Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
DDEVPLSTIK.NS,Ddev Plastiks Industries Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
DELHIVERY.NS,Delhivery,Spark Watchlist,Equity,Google Sheet Spark Stock List
DELTACORP.NS,Delta Corp Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
DEN.NS,DEN Networks Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
DHANBANK.NS,Dhanlaxmi Bank Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
E2E.NS,E2E Networks Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
EDELWEISS.NS,Edelweiss Financial Services Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ELECON.NS,Elecon Engineering Company Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
ENGINERSIN.NS,Engineers India Ltd,Spark Watchlist,Equity,Google Sheet Spark Stock List
